Date,Merchant,Category,Amount
2025-01-03,Whole Foods,Groceries,42.18
2025-01-05,Starbucks,Food & Drink,6.75
2025-01-08,Shell,Transportation,31.22
2025-01-10,Amazon,Shopping,58.49
2025-01-15,Kroger,Groceries,73.03
2025-02-01,Uber,Transportation,14.90
2025-02-04,Target,Shopping,45.10
2025-02-07,Panera,Food & Drink,12.80
2025-02-11,Trader Joe's,Groceries,65.44
2025-02-19,United,Travel,210.00
2025-03-02,Chipotle,Food & Drink,11.20
2025-03-06,Marriott,Travel,188.30
2025-03-09,Costco,Groceries,89.35
2025-03-12,Apple,Shopping,129.99
2025-03-20,Metro,Transportation,25.00
